Product,Strength
Abacavir/Lamivudine  Mylan,600 mg/300 mg film - coated  tablets
Abacavir/Lamivudine  Mylan Pbarma,600 mg/300 mg film -  coated tablets
Abacavir/Lamivudine  Sandoz,600 mg/300 mg film -  coated tablets
Abacavir/Lamivudine Vale,600 mg/30 mg film - coated  tablets
Abizol,30 mg tablets
Abizol,15 mg tablets
Abizol,10 mg tablets
Abricef,l g powder for solution  for injection
Abricort,"0,25 mg/g ointment"
Abricort,"0,25 mg/g cream"
Abricort  N,"0,25 mg/g + 5 mg/g cream"
Abricort  N,"0,25 mg/g + 5 mg/g  ointment"
Acard,150 mg gastro -  resistant tablets
Acard,75 mg gastro - resistant  tablets
Acarol,25% cutaneous liquid
Acarol,"12,5% cutaneous liquid"
ACC,100 mg effervescent tablets
ACC,20 mg/ml powder for oral  solution
ACC,100 mg powder for oral  solution
ACC,200 mg powder for oral  solution
ACC,200 mg effervescent tablets
ACC,600 mg effervescent tablets
ACC  acute,600 mg powder for oral  solution
ACC  Acute,200 mg powder for oral  solution
ACC  Direct,600 mg oral powder
ACC  Honey and lemon,600 mg powder for oral  solution
ACC  Kid,20 mg/ml powder for oral  solution
ACC  Syrup,20 mg/ml oral solution
ACCEL,10 mg tablets
ACCEL,5 mg tablets
Accupro,10 mg film - coated  tablets
Accupro,20 mg film - coated  tablets
Accu-Thyrox,25 micrograms/ 5 ml oral  solution
Accu-Thyrox,50 micrograms/5 ml oral  solution
Accu-Thyrox,100 micrograms/5 ml oral  solution
Accuzide,"10 mg/12,5 mg film -  coated tablets"
Accuzide,"20 mg/12,5 mg film -  coated tablets"
AceCys,200 mg powder for oral  solution
AceCys,600 mg powder for oral  solution
Aceffein,tablets
Acerbine,cutaneous solution
Acerbine,ointment
Acessal  Protect,100 mg gastro -  resistant tablets
Acetylin,500 mg tablets
Acetylin  Protect,100 mg gastro -  resistant tablets
Acetylin  С,400 mg/240 mg  effervescent tablets
Acetysal,500 mg tablets
Acetyzal  Cardio,75 mg gastro - resistant  tablets
Acetyzal  Cardio,100 mg gastro - resistant  tablets
Acic,5% cream
Acic,200 mg tablets
Aciclovir ABR,50 mg/g cream
Aciclovir  Accord,25 mg/ml concentrate for  solution for infusion
Aciclovir  Actavis,200 mg tablets
Aciclovir  Actavis,400 mg tablets
Aciclovir  Actavis,50 mg/g cream
Aciclovir  AL,800 mg tablets
Aciclovir  AL,200 mg tablets
Aciclovir  AL,400 mg tablets
Aciclovir Vision,30 mg/g eye ointment
Acidwell,20 mg gastro - resistant  tablets
Acilesol,20 mg gastro - resistant  tablets
Aclexa,"200 mg capsules, hard"
Aclexa,"100 mg capsules, hard"
Aclotin,250 mg film - coated  tablets
Acnatac,"10 mg/g + 0,25 mg/g gel"
Acne Out BP,5% gel
Acnederm,"cream 0,05% - 30 g"
Acnerin,sol. cut. 3% - 100 ml
Acnex,"10 mg/g + 0,25 mg/g gel"
Aconitum-Homaccord,drops - 30 ml
Acrux,32 mg tablets
Acrux,16 mg tablets
Acrux,8 mg tablets
Acrux  Plus,"8 mg/12,5 mg tablets"
Acrux  Plus,"16 mg/12,5 mg tablets"
Actalipid,10 mg film - coated  tablets
Actalipid,20 mg film - coated  tablets
Actalipid,40 mg film - coated  tablets
Actamone,4 mg chewable tablets
Actamone,5 mg chewable tablets
Actelsar,80 mg tablets
Act-HIB,"powd. inj. vial + solv.  pre-filled syr. 0,5 ml; x 1"
Actilyse,powd. inj. 20 mg + solv.  20 ml x 1
ACTILYSE,50 mg powder and solvent  for solution for injection and infusion
Activelle,"1 mg/0,5 mg film - coated tablets"
Actonel,tabl. film 5 mg x 14; x  28
Actovegin,cream 5% - 20 g
Actovegin,gel 20% - 20 g
Actovegin,oint. 5% - 20 g
Acuver,8 mg/dose oral solution
Acviscin,1000 mg powder for  concentrate for solution for infusion
Acviscin,500 mg powder for  concentrate for solution for infusion
Acyclostad,5 % cream
Acyclovir Stada,5 % cream
Adacel,"0,5 ml suspension for  injection"
Adacel,suspension for injection  in pre - filled syringe
ADACEL  POLIO,"suspension for  injection, in pre - filled syringe"
Adalat Eins,30 mg prolonged -  release tablets
Addven,concetrate for solution  for infusion
Adepend,tabl. film. 50 mg x 7; x  14; x 28
Adicetam,2400 mg powder for oral  solution
Adicetam,1200 mg powder for oral  solution
Adiflox,500 mg film - coated tablets
Adolax,10 mg/5 mg prolonged -  release tablets
Adolax,20 mg/10 mg prolonged -  release tablets
Adolax,40 mg/20 mg prolonged -  release tablets
Adolorin,300 mg/250 mg/50 mg  tablets
ADORMA,10 mg film - coated  tablets
ADORMA,5 mg film - coated tablets
Adrenaline  Sopharma,sol. inj. 1 mg/ml x 10;  x 100
Advantan,"0,1 % cream"
Advantan,"0,1% ointment"
Advantan Milk,"0,1 % cutaneous emulsion"
Aedon,10 mg orodispersible  tablets
Aedon,5 mg orodispersible  tablets
Aero-OM,42 mg chewable tablets
Aerrane,"inhalation vapour,  liquid"
Aflamil,15 mg/g cream
Aflamil,100 mg powder for oral  suspension
Aflamil,100 mg film - coated  tablets
Aflu Theiss,"oral drops, solution"
Aflubin,"oral drops, solution"
Aflubin,tablets
Afrin,"0,05% nasal spray,  solution"
Afrin ND,"0,5 mg/ml nasal spray, solution"
Afrin  ND Chamomile,"0,5 mg/ml nasal spray,  solution"
Afrin  ND Glycerol,"0,5 mg/ml nasal spray,  solution"
Afrin ND Menthol,"0,5 mg/ml nasal spray, solution"
Agapurin,100 mg coated tablets
Agapurin  SR,400 mg prolonged -  release tablets
Agapurin  SR,100 mg coated tablets
Agapurin  SR,600 mg prolonged -  release tablets
Agapurin  SR,400 mg prolonged -  release tablets
Agen,5 mg tablets
Aggrastat,250 micrograms/ml  concentrate for solution for infusion
Agilamex,600 mg  film - coated tablets
