Product,Strength
"Одобрени КХП на лекарствени продукти, разрешени за употреба в Р.  България",описание:
,600 mg/300 mg film - coated  tablets
търговско  наименование:,600 mg/300 mg film -  coated tablets
,600 mg/300 mg film -  coated tablets
Abacavir/Lamivudine  Mylan,600 mg/30 mg film - coated  tablets
Abacavir/Lamivudine  Mylan Pbarma,30 mg tablets
Abacavir/Lamivudine  Sandoz,15 mg tablets
Abacavir/Lamivudine Vale,10 mg tablets
Abizol,l g powder for solution  for injection
Abizol,"0,25 mg/g cream"
Abizol,"0,25 mg/g ointment"
Abricef,"0,25 mg/g + 5 mg/g cream"
Abricort,"0,25 mg/g + 5 mg/g  ointment"
Abricort,150 mg gastro -  resistant tablets
Abricort  N,75 mg gastro - resistant  tablets
Abricort  N,25% cutaneous liquid
Acard,"12,5% cutaneous liquid"
Acard,100 mg effervescent tablets
Acarol,20 mg/ml powder for oral  solution
Acarol,100 mg powder for oral  solution
ACC,200 mg powder for oral  solution
ACC,200 mg effervescent tablets
ACC,600 mg effervescent tablets
ACC,600 mg powder for oral  solution
ACC,200 mg powder for oral  solution
ACC,600 mg oral powder
ACC  acute,600 mg powder for oral  solution
ACC  Acute,20 mg/ml powder for oral  solution
ACC  Direct,20 mg/ml oral solution
ACC  Honey and lemon,10 mg tablets
ACC  Kid,5 mg tablets
ACC  Syrup,10 mg film - coated  tablets
ACCEL,20 mg film - coated  tablets
ACCEL,25 micrograms/ 5 ml oral  solution
Accupro,50 micrograms/5 ml oral  solution
Accupro,100 micrograms/5 ml oral  solution
Accu-Thyrox,"10 mg/12,5 mg film -  coated tablets"
Accu-Thyrox,"20 mg/12,5 mg film -  coated tablets"
Accu-Thyrox,200 mg powder for oral  solution
Accuzide,600 mg powder for oral  solution
Accuzide,tablets
AceCys,cutaneous solution
AceCys,ointment
Aceffein,100 mg gastro -  resistant tablets
Acerbine,500 mg tablets
Acerbine,100 mg gastro -  resistant tablets
Acessal  Protect,400 mg/240 mg  effervescent tablets
Acetylin,500 mg tablets
Acetylin  Protect,75 mg gastro - resistant  tablets
Acetylin  С,100 mg gastro - resistant  tablets
Acetysal,5% cream
Acetyzal  Cardio,200 mg tablets
Acetyzal  Cardio,50 mg/g cream
Acic,25 mg/ml concentrate for  solution for infusion
Acic,200 mg tablets
Aciclovir ABR,400 mg tablets
Aciclovir  Accord,50 mg/g cream
Aciclovir  Actavis,800 mg tablets
Aciclovir  Actavis,200 mg tablets
Aciclovir  Actavis,400 mg tablets
Aciclovir  AL,30 mg/g eye ointment
Aciclovir  AL,20 mg gastro - resistant  tablets
Aciclovir  AL,20 mg gastro - resistant  tablets
Aciclovir Vision,"200 mg capsules, hard"
Acidwell,"100 mg capsules, hard"
Acilesol,250 mg film - coated  tablets
Aclexa,"10 mg/g + 0,25 mg/g gel"
Aclexa,5% gel
Aclotin,"cream 0,05% - 30 g"
Acnatac,sol. cut. 3% - 100 ml
Acne Out BP,"10 mg/g + 0,25 mg/g gel"
Acnederm,drops - 30 ml
Acnerin,32 mg tablets
Acnex,16 mg tablets
Aconitum-Homaccord,8 mg tablets
Acrux,"8 mg/12,5 mg tablets"
Acrux,"16 mg/12,5 mg tablets"
Acrux,10 mg film - coated  tablets
Acrux  Plus,20 mg film - coated  tablets
Acrux  Plus,40 mg film - coated  tablets
Actalipid,4 mg chewable tablets
Actalipid,5 mg chewable tablets
Actalipid,80 mg tablets
